cod;nome;período;valor
41;PR;1985;11.51
35;SP;1985;25.08
33;RJ;1985;21.21
32;ES;1985;19.91
27;AL;1985;23.02
42;SC;1985;6.5
26;PE;1985;30.51
25;PB;1985;12.81
16;AP;1985;14.97
31;MG;1985;7.11
29;BA;1985;5.12
28;SE;1985;5
24;RN;1985;6.28
50;MS;1985;16.26
22;PI;1985;3.25
21;MA;1985;3.66
17;TO;1985;0
14;RR;1985;8.45
13;AM;1985;10.6
12;AC;1985;14.4
11;RO;1985;40.77
15;PA;1985;12.35
43;RS;1985;8.11
53;DF;1985;18.25
52;GO;1985;14.82
51;MT;1985;17.51
35;SP;1986;25.14
43;RS;1986;9.04
42;SC;1986;5.81
31;MG;1986;7.13
29;BA;1986;5.08
28;SE;1986;5.78
25;PB;1986;15.8
24;RN;1986;4.77
23;CE;1986;8.86
22;PI;1986;4.32
21;MA;1986;5.75
41;PR;1986;11.53
50;MS;1986;18.06
12;AC;1986;16.99
11;RO;1986;44.05
13;AM;1986;8.84
14;RR;1986;8.39
17;TO;1986;0
51;MT;1986;21.97
52;GO;1986;15.53
53;DF;1986;17.46
33;RJ;1986;20.25
32;ES;1986;20.65
27;AL;1986;24.81
26;PE;1986;30.57
16;AP;1986;12.62
15;PA;1986;13.69
16;AP;1987;10.07
12;AC;1987;26.09
15;PA;1987;12.39
25;PB;1987;12.38
26;PE;1987;32.29
27;AL;1987;23.08
32;ES;1987;22.45
33;RJ;1987;30.95
35;SP;1987;27.18
41;PR;1987;11.31
50;MS;1987;19.18
51;MT;1987;22.39
53;DF;1987;22.38
52;GO;1987;17.4
43;RS;1987;9.51
42;SC;1987;7.53
31;MG;1987;6.86
29;BA;1987;6.11
28;SE;1987;4.98
24;RN;1987;6.69
23;CE;1987;7.28
22;PI;1987;3.39
21;MA;1987;6.27
17;TO;1987;0
14;RR;1987;4.18
13;AM;1987;9.89
11;RO;1987;47.5
25;PB;1988;13.03
26;PE;1988;32.82
41;PR;1988;12.2
32;ES;1988;27.7
31;MG;1988;6.81
29;BA;1988;7.43
28;SE;1988;4.87
22;PI;1988;5.73
23;CE;1988;8.36
42;SC;1988;7.64
16;AP;1988;7.74
15;PA;1988;13
17;TO;1988;0
21;MA;1988;7.33
11;RO;1988;45.06
12;AC;1988;19.68
13;AM;1988;11.87
53;DF;1988;20.86
52;GO;1988;20.93
51;MT;1988;21.11
50;MS;1988;19.11
43;RS;1988;12.54
35;SP;1988;25.14
33;RJ;1988;24.72
27;AL;1988;30.38
24;RN;1988;8.53
14;RR;1988;38.88
51;MT;1989;25.27
17;TO;1989;7.11
21;MA;1989;8.64
22;PI;1989;5.68
23;CE;1989;9.84
28;SE;1989;9.74
29;BA;1989;9.51
31;MG;1989;7.94
41;PR;1989;13.4
35;SP;1989;30.21
33;RJ;1989;34.24
32;ES;1989;33.87
43;RS;1989;17.56
50;MS;1989;21.76
52;GO;1989;21.02
53;DF;1989;21.73
27;AL;1989;33.31
26;PE;1989;36.75
25;PB;1989;14.77
24;RN;1989;10.17
16;AP;1989;14.53
15;PA;1989;14.27
14;RR;1989;58.81
13;AM;1989;16.22
12;AC;1989;23.97
11;RO;1989;48.28
42;SC;1989;8.09
32;ES;1990;34.63
28;SE;1990;10.36
27;AL;1990;29.21
25;PB;1990;13.93
11;RO;1990;51.89
17;TO;1990;5.99
21;MA;1990;9.14
22;PI;1990;4.29
23;CE;1990;8.86
24;RN;1990;8.46
26;PE;1990;39
29;BA;1990;7.45
31;MG;1990;7.59
41;PR;1990;13.95
43;RS;1990;18.92
51;MT;1990;21.39
52;GO;1990;17.33
53;DF;1990;29.69
33;RJ;1990;56.1
42;SC;1990;8.71
50;MS;1990;20
16;AP;1990;16.54
15;PA;1990;15.59
14;RR;1990;62.26
13;AM;1990;18.02
12;AC;1990;15.75
35;SP;1990;30.71
53;DF;1991;30.54
52;GO;1991;21.2
51;MT;1991;22.3
42;SC;1991;7.82
41;PR;1991;14.5
31;MG;1991;7.83
29;BA;1991;5.02
26;PE;1991;41.3
24;RN;1991;9.07
23;CE;1991;9.53
22;PI;1991;3.99
21;MA;1991;9.53
17;TO;1991;10
50;MS;1991;21.79
43;RS;1991;18.54
35;SP;1991;30.66
33;RJ;1991;39.47
32;ES;1991;37.22
28;SE;1991;21.25
27;AL;1991;26.45
25;PB;1991;12.53
16;AP;1991;18.66
15;PA;1991;16.36
14;RR;1991;36.31
13;AM;1991;19.16
12;AC;1991;25.38
11;RO;1991;43.35
24;RN;1992;8.15
42;SC;1992;7.84
21;MA;1992;8.57
22;PI;1992;3.54
23;CE;1992;8.33
31;MG;1992;7.11
29;BA;1992;7.01
11;RO;1992;34.33
13;AM;1992;16.29
14;RR;1992;42.61
15;PA;1992;15.02
16;AP;1992;23.88
25;PB;1992;11.02
26;PE;1992;35.27
27;AL;1992;23.31
28;SE;1992;30.41
32;ES;1992;31.81
33;RJ;1992;35.12
35;SP;1992;28.44
41;PR;1992;12.77
43;RS;1992;17.01
50;MS;1992;23.41
51;MT;1992;17.19
52;GO;1992;20.15
53;DF;1992;25.84
12;AC;1992;24.9
17;TO;1992;7.1
13;AM;1993;15.78
33;RJ;1993;41.08
35;SP;1993;28.21
43;RS;1993;12.56
50;MS;1993;24.7
42;SC;1993;7.9
51;MT;1993;16.46
53;DF;1993;33.05
41;PR;1993;14.4
31;MG;1993;7.5
14;RR;1993;28.62
52;GO;1993;17.6
17;TO;1993;9.59
27;AL;1993;23.77
28;SE;1993;20.11
15;PA;1993;11.95
16;AP;1993;21.37
23;CE;1993;10.72
25;PB;1993;11.15
26;PE;1993;37.87
29;BA;1993;12.24
32;ES;1993;40.69
11;RO;1993;40.11
21;MA;1993;7.74
22;PI;1993;4.4
24;RN;1993;9.71
12;AC;1993;26.51
17;TO;1994;11
42;SC;1994;7.26
27;AL;1994;23.25
28;SE;1994;21.79
12;AC;1994;19.71
13;AM;1994;17.05
14;RR;1994;30.98
15;PA;1994;13.43
16;AP;1994;39.36
25;PB;1994;11.64
26;PE;1994;35.18
35;SP;1994;30.06
41;PR;1994;14.56
43;RS;1994;14.08
50;MS;1994;27.74
51;MT;1994;14.06
52;GO;1994;18.25
53;DF;1994;32.59
31;MG;1994;6.85
32;ES;1994;42.5
33;RJ;1994;48.7
21;MA;1994;6.08
22;PI;1994;3.68
29;BA;1994;13.95
23;CE;1994;9.59
24;RN;1994;8.3
11;RO;1994;30.9
29;BA;1995;12.15
53;DF;1995;36.19
50;MS;1995;33.25
43;RS;1995;15.02
41;PR;1995;15.92
35;SP;1995;34.29
33;RJ;1995;61.81
32;ES;1995;41.41
28;SE;1995;15.89
27;AL;1995;27.63
26;PE;1995;36.35
25;PB;1995;13.68
23;CE;1995;12.59
16;AP;1995;38.02
11;RO;1995;24.64
12;AC;1995;22.62
13;AM;1995;18.32
14;RR;1995;33.18
15;PA;1995;12.85
42;SC;1995;8.68
51;MT;1995;25.2
52;GO;1995;18.2
17;TO;1995;7.65
21;MA;1995;7.36
22;PI;1995;4.18
24;RN;1995;9.57
31;MG;1995;7.36
24;RN;1996;9.42
31;MG;1996;7.56
42;SC;1996;8.45
